offer,date_time,conversion_ip,source,sub_id_1,sub_id_2,sub_id_3,sub_id_4,sub_id_5,payout,status
1346 API_USD,2016-05-09 11:24:56,198.232.218.254,,,,,,wwcn-7074,1.8,approved
1346 API_USD,2016-05-09 11:23:02,198.232.218.254,,,,,,wwcn-384849,1.8,approved
1346 API_USD,2016-05-09 11:20:53,198.232.218.254,,,,,,wwcn-3598,1.8,approved
1346 API_USD,2016-05-09 11:19:54,198.232.218.254,,,,,,wwcn-386651,1.8,approved
1346 API_USD,2016-05-09 11:15:00,198.232.218.254,,,,,,wwcn-6566,1.8,approved
1346 API_USD,2016-05-09 11:08:09,198.232.218.254,,,,,,wwcn-7377,1.8,approved
1346 API_USD,2016-05-09 11:06:15,198.232.218.254,,,,,,wwcn-9612,1.8,approved
1346 API_USD,2016-05-09 11:02:31,198.232.218.254,,,,,,wwcn-9580,1.8,approved
1346 API_USD,2016-05-09 11:00:48,198.232.218.254,,,,,,wwcn-383107,1.8,approved
1346 API_USD,2016-05-09 11:00:30,198.232.218.254,,,,,,wwcn-380956,1.8,approved
1346 API_USD,2016-05-09 10:57:55,198.232.218.254,,,,,,wwcn-7607,1.8,approved
1346 API_USD,2016-05-09 10:49:26,198.232.218.254,,,,,,wwcn-9580,1.8,approved
1346 API_USD,2016-05-09 10:43:40,198.232.218.254,,,,,,wwcn-2243,1.8,approved
1346 API_USD,2016-05-09 10:39:02,198.232.218.254,,,,,,wwcn-404749,1.8,approved
1346 API_USD,2016-05-09 10:33:10,198.232.218.254,,,,,,wwcn-363306,1.8,approved
1346 API_USD,2016-05-09 10:32:50,198.232.218.254,,,,,,wwcn-263197,1.8,approved
1346 API_USD,2016-05-09 10:30:04,198.232.218.254,,,,,,wwcn-417532,1.8,approved
1346 API_USD,2016-05-09 10:28:24,198.232.218.254,,,,,,wwcn-19775,1.8,approved
1346 API_USD,2016-05-09 10:12:37,198.232.218.254,,,,,,wwcn-21614,1.8,approved
1346 API_USD,2016-05-09 10:12:29,198.232.218.254,,,,,,wwcn-338642,1.8,approved
1346 API_USD,2016-05-09 10:10:04,198.232.218.254,,,,,,wwcn-372331,1.8,approved
1346 API_USD,2016-05-09 10:01:38,198.232.218.254,,,,,,wwcn-6901,1.8,approved
1346 API_USD,2016-05-09 10:00:29,198.232.218.254,,,,,,wwcn-256834,1.8,approved
1346 API_USD,2016-05-09 09:57:51,198.232.218.254,,,,,,wwcn-88624,1.8,approved
1346 API_USD,2016-05-09 09:56:47,198.232.218.254,,,,,,wwcn-13137,1.8,approved
1346 API_USD,2016-05-09 09:50:00,198.232.218.254,,,,,,wwcn-257053,1.8,approved
1346 API_USD,2016-05-09 09:45:49,198.232.218.254,,,,,,wwcn-373346,1.8,approved
1346 API_USD,2016-05-09 09:45:17,198.232.218.254,,,,,,wwcn-5476,1.8,approved
1346 API_USD,2016-05-09 09:37:58,198.232.218.254,,,,,,wwcn-6291,1.8,approved
1346 API_USD,2016-05-09 09:37:13,198.232.218.254,,,,,,wwcn-4507,1.8,approved
1346 API_USD,2016-05-09 09:34:09,198.232.218.254,,,,,,wwcn-5943,1.8,approved
1346 API_USD,2016-05-09 09:23:20,198.232.218.254,,,,,,wwcn-7946,1.8,approved
1346 API_USD,2016-05-09 09:18:46,198.232.218.254,,,,,,wwcn-388987,1.8,approved
1346 API_USD,2016-05-09 09:16:55,198.232.218.254,,,,,,wwcn-4441,1.8,approved
1346 API_USD,2016-05-09 09:11:39,198.232.218.254,,,,,,wwcn-143611,1.8,approved
1346 API_USD,2016-05-09 09:08:56,198.232.218.254,,,,,,wwcn-6606,1.8,approved
1346 API_USD,2016-05-09 09:08:05,198.232.218.254,,,,,,wwcn-242233,1.8,approved
1346 API_USD,2016-05-09 09:07:44,198.232.218.254,,,,,,wwcn-373325,1.8,approved
1346 API_USD,2016-05-09 09:01:55,198.232.218.254,,,,,,wwcn-413491,1.8,approved
1346 API_USD,2016-05-09 08:57:02,198.232.218.254,,,,,,wwcn-12885,1.8,approved
1346 API_USD,2016-05-09 08:40:40,198.232.218.254,,,,,,wwcn-1763,1.8,approved
1346 API_USD,2016-05-09 08:37:12,198.232.218.254,,,,,,wwcn-23069,1.8,approved
1346 API_USD,2016-05-09 08:28:17,198.232.218.254,,,,,,wwcn-962,1.8,approved
1346 API_USD,2016-05-09 08:11:25,198.232.218.254,,,,,,wwcn-17090,1.8,approved
1346 API_USD,2016-05-09 08:00:09,198.232.218.254,,,,,,wwcn-2322,1.8,approved
1346 API_USD,2016-05-09 07:43:29,198.232.218.254,,,,,,wwcn-4009,1.8,approved
1346 API_USD,2016-05-09 07:32:12,198.232.218.254,,,,,,wwcn-322091,1.8,approved
1346 API_USD,2016-05-09 07:26:33,198.232.218.254,,,,,,wwcn-17090,1.8,approved
1346 API_USD,2016-05-09 07:14:50,198.232.218.254,,,,,,wwcn-4158,1.8,approved
1346 API_USD,2016-05-09 06:52:02,198.232.218.254,,,,,,wwcn-26428,1.8,approved
1346 API_USD,2016-05-09 04:31:30,198.232.218.254,,,,,,wwcn-3231,1.8,approved
1346 API_USD,2016-05-09 03:24:57,198.232.218.254,,,,,,wwcn-37188,1.8,approved
1346 API_USD,2016-05-09 02:57:34,198.232.218.254,,,,,,wwcn-9974,1.8,approved
1346 API_USD,2016-05-09 02:32:40,198.232.218.254,,,,,,wwcn-376350,1.8,approved
1346 API_USD,2016-05-09 01:47:21,198.232.218.254,,,,,,wwcn-382885,1.8,approved
1346 API_USD,2016-05-09 01:26:43,198.232.218.254,,,,,,wwcn-261265,1.8,approved
1346 API_USD,2016-05-09 01:17:05,198.232.218.254,,,,,,wwcn-8429,1.8,approved
1346 API_USD,2016-05-09 00:53:32,198.232.218.254,,,,,,wwcn-381791,1.8,approved
1346 API_USD,2016-05-09 00:52:49,198.232.218.254,,,,,,wwcn-2559,1.8,approved
1346 API_USD,2016-05-09 00:23:27,198.232.218.254,,,,,,wwcn-385136,1.8,approved
1346 API_USD,2016-05-09 00:22:07,198.232.218.254,,,,,,wwcn-30,1.8,approved
1346 API_USD,2016-05-09 00:19:24,198.232.218.254,,,,,,wwcn-288402,1.8,approved
1346 API_USD,2016-05-09 00:17:13,198.232.218.254,,,,,,wwcn-78102,1.8,approved
1346 API_USD,2016-05-08 23:54:12,198.232.218.254,,,,,,wwcn-2352,1.8,approved
1346 API_USD,2016-05-08 23:49:43,198.232.218.254,,,,,,wwcn-30,1.8,approved
1346 API_USD,2016-05-08 23:40:29,198.232.218.254,,,,,,wwcn-1841,1.8,approved
1346 API_USD,2016-05-08 23:30:41,198.232.218.254,,,,,,wwcn-1744,1.8,approved
1346 API_USD,2016-05-08 23:27:06,198.232.218.254,,,,,,wwcn-13017,1.8,approved
1346 API_USD,2016-05-08 23:19:33,198.232.218.254,,,,,,wwcn-217758,1.8,approved
1346 API_USD,2016-05-08 23:17:48,198.232.218.254,,,,,,wwcn-408931,1.8,approved
1346 API_USD,2016-05-08 23:17:01,198.232.218.254,,,,,,wwcn-399491,1.8,approved
